頁數: 1, 文章ID: 2749541, 標題: 春節敬老禮金》2025全台春節禮金「發放金額、領取時間」一次看, 來源: 網新自製, 審核日期: 2025-01-17 16:59:05, 總PV: 701010, 爬取日PV: 15
頁數: 2, 文章ID: 2762962, 標題: 國民黨戰將「肺癌病逝」！享壽63歲　出殯千人送行, 來源: 網新自製, 審核日期: 2025-01-27 10:22:05, 總PV: 204127, 爬取日PV: 0
頁數: 2, 文章ID: 2757612, 標題: 快訊／林秉樞傳「裝葉克膜」病危搶救！　暴打高嘉瑜入獄, 來源: 網新自製, 審核日期: 2025-01-21 18:28:05, 總PV: 202653, 爬取日PV: 1
頁數: 2, 文章ID: 2727481, 標題: 買1張就中10萬！刮刮樂「選號規律」曝　老闆認：中獎率破7成, 來源: 網新自製, 審核日期: 2025-01-26 09:00:00, 總PV: 200576, 爬取日PV: 24
頁數: 2, 文章ID: 2764273, 標題: 劉雨柔「宣布懷孕」！初一挺孕肚報喜　孩子爸是他：是個奇蹟, 來源: 網新自製, 審核日期: 2025-01-29 08:10:15, 總PV: 199228, 爬取日PV: 11
頁數: 2, 文章ID: 2751692, 標題: 謝金燕兒生父是他？身分引關注　白冰冰逼問「楊宗憲全說了」, 來源: 網新自製, 審核日期: 2025-01-16 09:04:38, 總PV: 197979, 爬取日PV: 0
頁數: 2, 文章ID: 2744986, 標題: 麻疹疫苗1981年後生要補打？得過就終身免疫？醫師5大QA解答, 來源: 網新自製, 審核日期: 2025-01-09 18:09:05, 總PV: 197156, 爬取日PV: 3
頁數: 3, 文章ID: 2740554, 標題: 國發會前副主委「胰臟癌病逝」！享壽65歲　專業獲藍綠重用, 來源: AI WIZE, 審核日期: 2025-01-05 22:01:54, 總PV: 196177, 爬取日PV: 0
頁數: 3, 文章ID: 2754350, 標題: 台中知名夜市「開3年倒了」！150攤販全跑光　民眾撲空怒刷1星, 來源: 網新自製, 審核日期: 2025-01-18 15:48:39, 總PV: 194998, 爬取日PV: 1
頁數: 3, 文章ID: 2738065, 標題: 晚年享福！4生肖「老來無病＋財富自由」　這位越老越有錢, 來源: 網新自製, 審核日期: 2025-01-02 22:23:56, 總PV: 193395, 爬取日PV: 3
頁數: 3, 文章ID: 2741848, 標題: 北市警「性侵親生女兒」7年348次　士檢依權勢性交罪起訴, 來源: 網新自製, 審核日期: 2025-01-07 10:30:15, 總PV: 193389, 爬取日PV: 2
頁數: 3, 文章ID: 2762351, 標題: 搜救11天找到了　林葉亭「確認失智父身亡」崩潰, 來源: 網新自製, 審核日期: 2025-01-26 10:38:23, 總PV: 192106, 爬取日PV: 0
頁數: 3, 文章ID: 2736527, 標題: 女星「插管命危」！送ICU搶救　最新近況曝光, 來源: 香港01, 審核日期: 2025-01-02 10:58:21, 總PV: 190100, 爬取日PV: 3
頁數: 3, 文章ID: 2736209, 標題: 價格僅1/10！爆紅Uniqlo立領上衣譽為「Patagonia平替」, 來源: 女大, 審核日期: 2025-01-01 08:45:35, 總PV: 187922, 爬取日PV: 0
頁數: 3, 文章ID: 2763945, 標題: 正妹在台南路邊燒金紙戴護目鏡「美成這樣」　近看竟是大咖女神, 來源: 網新自製, 審核日期: 2025-01-28 15:51:53, 總PV: 183388, 爬取日PV: 1
頁數: 3, 文章ID: 2752615, 標題: 謝金燕帥兒28歲了！185公分「男神長相」曝光　可以準備出道, 來源: 網新自製, 審核日期: 2025-01-16 23:25:42, 總PV: 179481, 爬取日PV: 1
頁數: 3, 文章ID: 2747015, 標題: 出國「別穿3種衣服」！機場安檢恐卡關　苦主嘆：差點趕不上飛機, 來源: 網新自製, 審核日期: 2025-01-11 16:06:52, 總PV: 177460, 爬取日PV: 0
頁數: 3, 文章ID: 2765422, 標題: 快訊／大年初二「台中燒肉店起火」！烈焰狂吞噬　恐怖畫面曝, 來源: 網新自製, 審核日期: 2025-01-30 20:51:26, 總PV: 174626, 爬取日PV: 4
頁數: 3, 文章ID: 2762698, 標題: 楊梅火燒車4死事故車款曝光　「鎖外不鎖內」設計隱藏門把, 來源: AI WIZE, 審核日期: 2025-01-26 17:48:02, 總PV: 174537, 爬取日PV: 0
頁數: 3, 文章ID: 2762880, 標題: 楊梅火燒車剪安全帶勇救4童！熱心哥背景曝　486急尋人送大禮, 來源: 網新自製, 審核日期: 2025-01-27 07:34:15, 總PV: 173406, 爬取日PV: 0
頁數: 3, 文章ID: 2765336, 標題: 《報告班長》男星驚傳「初一過世」！享年56歲　李興文沉痛證實, 來源: 網新自製, 審核日期: 2025-01-30 18:04:01, 總PV: 170551, 爬取日PV: 3
頁數: 3, 文章ID: 2754761, 標題: 國10蝦皮物流車自撞！百人包裹噴飛　駕駛困「車頭懸空」, 來源: 網新自製, 審核日期: 2025-01-19 08:14:57, 總PV: 168791, 爬取日PV: 16
頁數: 3, 文章ID: 2752300, 標題: 吃飯別再吃「這種魚」！台大醫揭3隱患：罹癌機率增7倍, 來源: 網新自製, 審核日期: 2025-01-16 16:56:30, 總PV: 168396, 爬取日PV: 0
頁數: 3, 文章ID: 2747691, 標題: 大咖歌后消失多年！夜市賣燒酒雞被拍　遭認出霸氣回應了, 來源: AI WIZE, 審核日期: 2025-01-12 16:07:28, 總PV: 167777, 爬取日PV: 0
頁數: 3, 文章ID: 2752896, 標題: 黃麟凱「2劑麻藥」才昏過去！死前心情沉重　槍決過程曝光, 來源: 網新自製, 審核日期: 2025-01-17 09:14:41, 總PV: 166681, 爬取日PV: 0
頁數: 3, 文章ID: 2739884, 標題: 大愛劇場「幕後藏恨」　他向證嚴喊話：看看麾下弟子貪嗔癡, 來源: 網新自製, 審核日期: 2025-01-04 22:19:24, 總PV: 166359, 爬取日PV: 2
頁數: 3, 文章ID: 2752917, 標題: 謝金燕藏28年遭爆兒子生父！　凌晨悲吐41字心聲：痛了就哭, 來源: AI WIZE, 審核日期: 2025-01-17 09:59:24, 總PV: 166204, 爬取日PV: 0
頁數: 3, 文章ID: 2746720, 標題: 洛杉磯野火更新／增至27死　大谷翔平宣布捐1646萬助救災, 來源: 網新自製, 審核日期: 2025-01-17 11:47:06, 總PV: 164196, 爬取日PV: 0
頁數: 3, 文章ID: 2754791, 標題: 詐騙又有新招！一票證實「剛剛才收到」　醫揪4疑點打臉, 來源: 網新自製, 審核日期: 2025-01-19 09:38:52, 總PV: 163838, 爬取日PV: 3
頁數: 3, 文章ID: 2750458, 標題: 1800飛了！機車上有1物「被檢舉秒開罰」一票車主不知道, 來源: AI WIZE, 審核日期: 2025-01-15 10:20:05, 總PV: 163384, 爬取日PV: 1
頁數: 3, 文章ID: 2740846, 標題: 劉德華唱一半！驚喊「師父來了」竟是大咖歌王　最美港姐也現身, 來源: 網新自製, 審核日期: 2025-01-06 11:53:22, 總PV: 163163, 爬取日PV: 0
頁數: 3, 文章ID: 2754237, 標題: 至今還在逃！童星《海豚灣戀人》走紅　21歲殺人遭通緝「慘淪10大要犯」, 來源: 網新自製, 審核日期: 2025-01-18 13:11:25, 總PV: 163159, 爬取日PV: 5
頁數: 4, 文章ID: 2758879, 標題: 獨／詹雅雯少給0.1落敗　《紅人榜》男星淚揭「駭人真面目」, 來源: 網新自製, 審核日期: 2025-01-22 18:27:37, 總PV: 161712, 爬取日PV: 2
頁數: 4, 文章ID: 2743180, 標題: 饗饗疑爆食物中毒找到兇手了？用餐者：上吐下瀉都有吃1物, 來源: 網新自製, 審核日期: 2025-01-08 11:10:35, 總PV: 160795, 爬取日PV: 0
頁數: 4, 文章ID: 2761035, 標題: 她怕小雞冷照燈取暖！不到半小時…「燒成烤雞」飄炭香, 來源: 網新自製, 審核日期: 2025-01-24 16:34:12, 總PV: 160681, 爬取日PV: 2
頁數: 4, 文章ID: 2762914, 標題: 示警2025年「毀滅性強震」！她曾料中311　新預言曝災難始末, 來源: 網新自製, 審核日期: 2025-01-27 09:31:52, 總PV: 157331, 爬取日PV: 22
頁數: 4, 文章ID: 2762350, 標題: UNIQLO又無預警撤出1縣市！全台3家同日停業　在地人崩潰, 來源: 網新自製, 審核日期: 2025-01-26 10:45:00, 總PV: 157242, 爬取日PV: 0
頁數: 4, 文章ID: 2748076, 標題: 6旬婦用漂白水洗廁所「肺白一大片」　急裝葉克膜搶回一命, 來源: 網新自製, 審核日期: 2025-01-13 09:53:39, 總PV: 156617, 爬取日PV: 4
頁數: 4, 文章ID: 2764939, 標題: 台東老翁「陳屍家中」成白骨逾半年　親友年節返家崩潰, 來源: 網新自製, 審核日期: 2025-01-30 10:20:58, 總PV: 156324, 爬取日PV: 0
頁數: 4, 文章ID: 2762062, 標題: 大胃王千千國道遭2車追撞車尾全毀「昏迷送醫」　肇事者竟酒駕！最新狀況曝, 來源: 網新自製, 審核日期: 2025-01-25 19:55:50, 總PV: 155494, 爬取日PV: 0
頁數: 4, 文章ID: 2745616, 標題: 竹科設備大廠「倒閉關廠」！欠巨債2500萬　董事長跑路, 來源: 網新自製, 審核日期: 2025-01-10 11:25:06, 總PV: 154517, 爬取日PV: 0
頁數: 4, 文章ID: 2752694, 標題: 最後1餐有雞腿！黃麟凱已押往刑場「9點槍決」　法警祭拜地藏王菩薩, 來源: 網新自製, 審核日期: 2025-01-16 20:31:09, 總PV: 151108, 爬取日PV: 0
頁數: 4, 文章ID: 2740542, 標題: 全聯鮮奶區公告「禁做1事」！全場笑翻：奧客沒有極限, 來源: 網新自製, 審核日期: 2025-01-05 21:41:04, 總PV: 149319, 爬取日PV: 0
頁數: 4, 文章ID: 2742677, 標題: 疑食物中毒！9人饗饗用餐「上吐下瀉」　北市衛生局查2缺失令停業, 來源: 網新自製, 審核日期: 2025-01-07 20:40:01, 總PV: 149171, 爬取日PV: 0
頁數: 4, 文章ID: 2762116, 標題: 快訊／楊梅休息站3死「5人搶救中」！電動車自撞起火　家屬現身, 來源: 網新自製, 審核日期: 2025-01-26 07:24:38, 總PV: 148947, 爬取日PV: 0
頁數: 4, 文章ID: 2751763, 標題: 許志豪現身夢幻婚宴「正妹女伴不藏了」　他親揭2人真實關係, 來源: 網新自製, 審核日期: 2025-01-16 10:29:26, 總PV: 148648, 爬取日PV: 2
頁數: 4, 文章ID: 2759095, 標題: 天生發財命！「3生肖」賺錢像印鈔機　晚年享盡榮華富貴, 來源: AI WIZE, 審核日期: 2025-01-22 22:19:42, 總PV: 148522, 爬取日PV: 1
頁數: 4, 文章ID: 2750353, 標題: 一早發錢！近十萬元進帳「5年內沒申請充公」　16筆接力發, 來源: 網新自製, 審核日期: 2025-01-15 08:03:44, 總PV: 145838, 爬取日PV: 9
頁數: 4, 文章ID: 2762893, 標題: 陳彥翔哥再婚！小姨子怒轟「姊餘生被你弟燒光」　曝擲聖筊：姊超氣, 來源: 網新自製, 審核日期: 2025-01-27 08:34:11, 總PV: 144825, 爬取日PV: 2
頁數: 4, 文章ID: 2760071, 標題: 吃完火鍋「沒呼吸心跳」！碰一聲倒地　醫嘆：才30歲而已, 來源: 網新自製, 審核日期: 2025-01-23 18:18:25, 總PV: 144748, 爬取日PV: 0
頁數: 4, 文章ID: 2743240, 標題: 吳奇隆狂傳婚變首發文　跟上劉詩詩共同表態「3個字」, 來源: 網新自製, 審核日期: 2025-01-08 11:53:29, 總PV: 144334, 爬取日PV: 7
頁數: 4, 文章ID: 2757976, 標題: 一早發錢了！「4000元」現金入帳　過年前11筆接力發, 來源: 網新自製, 審核日期: 2025-01-22 08:37:27, 總PV: 143068, 爬取日PV: 6
頁數: 4, 文章ID: 2741475, 標題: 不只偷畫！苦苓再爆4項「上人不知道的事」　慈濟基金會回應了, 來源: 網新自製, 審核日期: 2025-01-06 18:44:15, 總PV: 143057, 爬取日PV: 0
頁數: 4, 文章ID: 2739086, 標題: 朴敘俊自爆息影真相！沒頭路竟暴瘦　親吐心聲：想盡量遠離演戲, 來源: 網新自製, 審核日期: 2025-01-03 19:43:04, 總PV: 142373, 爬取日PV: 2
頁數: 4, 文章ID: 2762494, 標題: 林葉亭失智父遺體在定位附近！搜救失敗內幕曝光　令人遺憾, 來源: 網新自製, 審核日期: 2025-01-26 13:06:22, 總PV: 141437, 爬取日PV: 0
頁數: 4, 文章ID: 2746702, 標題: 遭鮮肉襲胸摸臀畫面曝！小S開罵「覺得被羞辱」　來賓全看傻, 來源: 網新自製, 審核日期: 2025-01-11 10:06:45, 總PV: 140891, 爬取日PV: 0
頁數: 4, 文章ID: 2760055, 標題: 郊遊被獨漏？台中8歲童等3小時急哭　聽真相「眼淚白流了」, 來源: AI WIZE, 審核日期: 2025-01-23 18:16:45, 總PV: 139664, 爬取日PV: 1
頁數: 5, 文章ID: 2764145, 標題: 天氣／凍到初二！過年這天「雨炸全台」　開工迎冷氣團恐達寒流, 來源: 網新自製, 審核日期: 2025-01-28 19:26:45, 總PV: 139421, 爬取日PV: 1
頁數: 5, 文章ID: 2740994, 標題: 88歲男星阿西「癱軟送醫」！　楊繡惠崩潰證實, 來源: 網新自製, 審核日期: 2025-01-06 13:11:41, 總PV: 139153, 爬取日PV: 2
頁數: 5, 文章ID: 2761392, 標題: 【獨家】新竹黑道火拚開槍狙殺　電子公司總經理中彈亡, 來源: 鏡週刊, 審核日期: 2025-01-24 22:49:48, 總PV: 137965, 爬取日PV: 3
頁數: 5, 文章ID: 2762599, 標題: 林葉亭父水域遇難「可能原因曝」　醫揭失智者迷路後行為模式, 來源: 網新自製, 審核日期: 2025-01-26 15:37:51, 總PV: 137118, 爬取日PV: 2
頁數: 5, 文章ID: 2750037, 標題: 李威捲入精舍命案！「妹妹」揭他私下面目：性情大變, 來源: 網新自製, 審核日期: 2025-01-14 18:26:52, 總PV: 136904, 爬取日PV: 2
頁數: 5, 文章ID: 2764603, 標題: 美人魚整顆頭遭大魚咬住！觀眾目睹尖叫　陸水族館塞3千壓消息, 來源: 網新自製, 審核日期: 2025-01-29 16:11:29, 總PV: 136842, 爬取日PV: 1
頁數: 5, 文章ID: 2750432, 標題: 37歲人氣女星「陽台墜亡」！才曬熱舞影片　澳洲家屬淚認死訊, 來源: 網新自製, 審核日期: 2025-01-15 10:08:33, 總PV: 136614, 爬取日PV: 1
頁數: 5, 文章ID: 2744505, 標題: 「1飲料」從腦傷到腳！罹癌王增22%　胰臟癌、乳癌全都來, 來源: 品觀點, 審核日期: 2025-01-09 13:51:59, 總PV: 134277, 爬取日PV: 1
頁數: 5, 文章ID: 2765136, 標題: 曾文水庫蔣公銅像被晃倒！嘉義5.6地震　「水上漂」奇景消失, 來源: 中央社, 審核日期: 2025-01-30 14:18:11, 總PV: 134098, 爬取日PV: 2
頁數: 5, 文章ID: 2753637, 標題: 保麗龍是垃圾還是回收？環境部解答了　丟錯恐罰6000元, 來源: 網新自製, 審核日期: 2025-01-17 18:18:14, 總PV: 133826, 爬取日PV: 5
頁數: 5, 文章ID: 2748033, 標題: 歌壇天后慘淪小三！愛上經紀人「疑中降頭」　急砸5千萬贖身, 來源: 網新自製, 審核日期: 2025-01-13 08:15:03, 總PV: 132431, 爬取日PV: 1
頁數: 5, 文章ID: 2761254, 標題: 台「脫口秀教母」離婚！痛訴老公婚內出軌　小三演員身分曝光, 來源: 網新自製, 審核日期: 2025-01-24 19:22:45, 總PV: 131944, 爬取日PV: 4
頁數: 5, 文章ID: 2762602, 標題: 林葉亭父疑鑽小路進庭院！傳屋主曾婉拒查看　鄰居曝有土地糾紛, 來源: 網新自製, 審核日期: 2025-01-26 15:41:37, 總PV: 131608, 爬取日PV: 0
頁數: 5, 文章ID: 2764593, 標題: 快買彩券！命理師點名3生肖有「大錢命」　有望中數億大獎, 來源: 網新自製, 審核日期: 2025-01-29 15:42:58, 總PV: 131414, 爬取日PV: 2
頁數: 5, 文章ID: 2762423, 標題: 淫男灌醉16歲女友！揪好兄弟「操場輪流性侵」　她崩潰休學, 來源: AI WIZE, 審核日期: 2025-01-26 12:09:45, 總PV: 131340, 爬取日PV: 0
頁數: 5, 文章ID: 2746650, 標題: 大林慈濟盜圖「證嚴也受害」！釋昭慧長文抱屈　揭攬功師姐現況, 來源: 網新自製, 審核日期: 2025-01-11 07:44:50, 總PV: 131162, 爬取日PV: 0
頁數: 5, 文章ID: 2760857, 標題: 北市羅斯福路大樓突左傾！急撤全體員工　現場交管曝, 來源: 中央社, 審核日期: 2025-01-24 14:48:52, 總PV: 129042, 爬取日PV: 2
頁數: 5, 文章ID: 2513434, 標題: 文化幣領取攻略》文化幣怎麼用？可以幹嘛？使用期限與店家一覽, 來源: 網新自製, 審核日期: 2025-01-08 18:36:27, 總PV: 128116, 爬取日PV: 2
頁數: 5, 文章ID: 2755146, 標題: 獨／林葉亭父親走失3天！兒邱以太「更新現況」洩心情　爆與媽媽大吵, 來源: 網新自製, 審核日期: 2025-01-19 16:17:34, 總PV: 126821, 爬取日PV: 1
頁數: 5, 文章ID: 2620057, 標題: 不要再戳了！蓮蓬頭卡垢用「4秘方浸泡」輕鬆解決　啤酒也有效, 來源: 健康2.0, 審核日期: 2025-01-03 18:13:54, 總PV: 125442, 爬取日PV: 1
頁數: 5, 文章ID: 2742737, 標題: 濟州航空空難原因出爐！韓調查團證實鳥擊：引擎不一定馬上熄火, 來源: 中央社, 審核日期: 2025-01-07 21:10:43, 總PV: 123250, 爬取日PV: 0
頁數: 5, 文章ID: 2740006, 標題: 20多歲男嗑鮮蚵！「1晚30次」站不起來　醫嚇壞：腎衰竭了, 來源: 網新自製, 審核日期: 2025-01-05 09:38:34, 總PV: 122455, 爬取日PV: 0
頁數: 5, 文章ID: 2764201, 標題: 中國央視春晚登場！台灣4藝人現身　蘇有朋開場、蕭敬騰4度獻唱, 來源: AI WIZE, 審核日期: 2025-01-28 21:50:12, 總PV: 119485, 爬取日PV: 0
頁數: 5, 文章ID: 2762645, 標題: 黃安被封「舔共男星」多年！突宣布回台　氣壞網友狠嗆：不要臉, 來源: 網新自製, 審核日期: 2025-01-26 16:36:39, 總PV: 118909, 爬取日PV: 1
頁數: 5, 文章ID: 2761905, 標題: 超幸運！在全聯買69元便當　統一發票中千萬特別獎, 來源: 網新自製, 審核日期: 2025-01-25 16:11:44, 總PV: 118200, 爬取日PV: 2
頁數: 6, 文章ID: 2760995, 標題: 趙露思明確定復工！本人再爆黑暗史　證實罹解離症「神經已損傷」, 來源: 網新自製, 審核日期: 2025-01-24 16:48:44, 總PV: 117386, 爬取日PV: 1
